name,domain,one_liner,icp,pricing_model,price_band,evidence_level,evidence_notes,pay_stack,g2_or_store,traffic_band,on_toolify_revenue,source_method,cluster,decision,kill_reason,updated_at
Bannerbear,bannerbear.com,Auto-generate images/videos via API for marketers & devs,Developer / growth marketer,usage+sub,mid (API usage),A,"Founder journey to $10k MRR documented on bannerbear.com/journey-to-10k-mrr; long-running bootstrapped product with public Pricing",unknown,unknown,mid,unknown,indie_mrr_post,image_api,track,,2026-08-07
Pikzels,pikzels.com,AI YouTube/thumbnail generation,Creators / YouTubers,sub,mid,B,"Third-party micro-SaaS roundup cites ~$25k MRR; must re-verify on site + checkout before promoting to A",unknown,unknown,unknown,unknown,mrr_roundup,ai_thumbnail,track,Needs live pricing/checkout probe,2026-08-07
Testimonial.to,testimonial.to,Collect video testimonials,SaaS / agency marketers,sub,mid,B,"Roundup cites ~$40k MRR; strong category product — upgrade evidence via G2/checkout",unknown,unknown,mid,unknown,mrr_roundup,social_proof,track,Third-party MRR only,2026-08-07
ByeByeAI,byebye.ai,AI-content detection,Writers / schools / buyers of copy,sub_or_credits,low-mid,B,"Roundup claims ~$4k MRR in 3 weeks — treat as self-report until dashboard/pricing verified",unknown,unknown,unknown,unknown,mrr_roundup,ai_detection,watch,Unverified velocity claim,2026-08-07
Linkody,linkody.com,Backlink tracking SEO SaaS,SEO freelancers / SMBs,sub,mid,B,"Roundup cites ~$200k ARR bootstrapped; classic SEO tool — confirm still selling",unknown,unknown,unknown,unknown,mrr_roundup,seo_ops,track,ARR from secondary list,2026-08-07
Polsia,polsia.com,Autonomous company-task AI agent,Founders / small companies,sub,"$49/mo + credits (PH blurb)",B,"Product Hunt copy claims 500+ companies and $450k+ ARR; self-marketing — needs independent corroboration",unknown,PH product page,unknown,unknown,product_hunt,ai_agent_ops,watch,ARR claim on PH only,2026-08-07
Toolspend,toolspend.com,Track AI tool spend/usage across stack,Ops / finance / eng leads,freemium_or_sub,unknown,C,"PH listing emphasizes AI subscription sprawl problem; Free Options tag — not yet paid-evidence",unknown,PH 1 review,unknown,unknown,product_hunt,ai_cost_ops,watch,No paid proof yet — demand signal only,2026-08-07
NeuronWriter,neuronwriter.com,SEO content optimization with NLP/AI,SEO content teams,sub+LTD,LTD from ~$89 (hist),A,"AppSumo-style LTD repeatedly listed; lifetime purchase = verified willingness to pay; confirm current web pricing",unknown,AppSumo hist,mid,unknown,appsumo_ltd,seo_content,track,,2026-08-07
Writecream,writecream.com,AI writing / marketing copy,SMB marketers,sub+LTD,LTD from ~$59 (hist),A,"Multiple 2026 LTD roundups; sold as lifetime — paid demand verified at deal layer",unknown,AppSumo hist,mid,unknown,appsumo_ltd,ai_writing,track,Commodity writing cluster — easy kill if no wedge,2026-08-07
Picmaker,picmaker.com,AI social / design content,SMB social marketers,sub+LTD,LTD from ~$59 (hist),A,"LTD roundups 2026; design+AI SMB tool with paid LTD history",unknown,AppSumo hist,mid,unknown,appsumo_ltd,ai_design,track,,2026-08-07
Snoooz,unknown,AI email assistant (LTD),Solopreneurs / SMB inbox,LTD,"~$39 LTD hist",A,"Independent AppSumo recap: Sold out (~88 reviews @ high rating) = clear paid demand pulse",unknown,AppSumo sold_out,unknown,unknown,appsumo_ltd,email_ai,watch,Confirm domain + whether product still active post-LTD,2026-08-07
Mini Course Generator,minicoursegenerator.com,AI mini-course builder,Creators / coaches,LTD+sub,"~$99 LTD hist",A,"AppSumo sold out with 200+ reviews in recap — strong paid signal; check live SaaS pricing",unknown,AppSumo sold_out,unknown,unknown,appsumo_ltd,course_ai,track,,2026-08-07
DM Champ,dmchamp.com,White-label AI sales agent for resellers,Agencies,LTD+resell,"$59–99 LTD band (listings)",B,"AppSumo/browse listings + vendor content; resell model — verify real checkout and refund pattern",unknown,AppSumo live-ish,unknown,unknown,appsumo_ltd,sales_agent_wl,watch,Vendor-authored roundups bias,2026-08-07
HeadshotPro,headshotpro.com,AI professional headshots,Job seekers / HR / creators,credits+sub,mid-high,B,"Multiple 2026 solo-AI writeups cite very high monthly revenue; famous category winner — treat numbers as claims until triangulated",unknown,strong brand,high,likely,mrr_roundup,ai_headshot,track,Category already crowded red ocean for new entrants,2026-08-07
Affpilot,affpilot.com,AI affiliate content tooling,Affiliate marketers,LTD+sub,LTD hist,A,"AppSumo review text references buying lifetime deal; deal unavailable/sold dynamics = paid demand",unknown,AppSumo,unknown,unknown,appsumo_ltd,affiliate_ai,watch,Confirm site alive,2026-08-07
